modul,level,regional,witel,data_points,n_test,MAE,RMSE,MAPE,sMAPE,MASE,Skill_vs_Naive,KPI_pass,trained_at
order_hsi,witel,REG-5,SULBAGSEL,44,6,140.4235,166.3801,14.7201,15.0011,0.4973,0.2944,LULUS,2026-05-21 00:26:58
order_hsi,witel,REG-5,SULBAGTENG,43,6,120.0136,124.4599,20.1796,21.4643,0.8884,0.287,LULUS,2026-05-21 00:27:14
order_hsi,witel,REG-5,SUMALUT,43,6,99.2644,110.8382,19.656,19.1301,0.8486,-0.0412,LULUS,2026-05-21 00:27:31
realisasi_hsi,nasional,NASIONAL,-,25,3,968.4105,1060.708,6.418,6.4789,0.0793,0.5929,LULUS,2026-05-21 12:05:24
realisasi_hsi,regional,REG-1,-,25,3,311.636,377.9914,12.3431,11.6228,0.1434,0.1792,LULUS,2026-05-21 10:30:19
realisasi_hsi,regional,REG-2,-,25,3,308.5207,327.0733,6.6059,6.5618,0.0669,0.6349,LULUS,2026-05-21 10:33:01
realisasi_hsi,regional,REG-3,-,25,3,404.7525,422.3111,9.7572,9.8448,0.1051,0.4165,LULUS,2026-05-21 10:35:45
realisasi_hsi,regional,REG-4,-,25,3,98.6085,113.9441,6.0131,6.264,0.2086,0.7261,LULUS,2026-05-21 11:04:09
realisasi_hsi,regional,REG-5,-,25,3,173.9004,180.0154,9.5404,9.3343,0.1584,0.5257,LULUS,2026-05-21 10:43:39
realisasi_hsi,witel,REG-1,ACEH,25,3,55.2567,65.1386,18.3625,16.2569,0.1807,-0.0906,LULUS,2026-05-21 12:05:25
realisasi_hsi,witel,REG-1,LAMPUNG BENGKULU,25,3,45.5405,64.218,16.726,14.2593,0.1605,0.3169,LULUS,2026-05-21 10:31:00
realisasi_hsi,witel,REG-1,RIAU,25,3,59.6152,76.8153,10.9469,10.0454,0.1145,-0.0338,LULUS,2026-05-21 10:31:19
realisasi_hsi,witel,REG-1,SUMBAGSEL,25,3,58.4931,60.099,18.6499,17.5431,0.283,0.3525,LULUS,2026-05-21 10:31:45
realisasi_hsi,witel,REG-1,SUMBAR JAMBI,25,3,46.9517,56.0217,12.4364,11.3906,0.1323,0.5241,LULUS,2026-05-21 10:32:26
realisasi_hsi,witel,REG-1,SUMUT,25,3,152.0789,180.638,18.8354,20.053,0.3031,0.3221,LULUS,2026-05-21 10:32:45
realisasi_hsi,witel,REG-2,BANDUNG,25,3,41.4178,42.4653,8.4785,8.88,0.056,0.256,LULUS,2026-05-21 10:33:23
realisasi_hsi,witel,REG-2,BANTEN,25,3,52.6408,65.5718,7.5364,7.8605,0.0911,0.5229,LULUS,2026-05-21 10:33:44
realisasi_hsi,witel,REG-2,BEKASI KARAWANG,25,3,23.7324,24.1715,3.0796,3.0761,0.0348,0.8488,LULUS,2026-05-21 10:34:00
realisasi_hsi,witel,REG-2,JAKARTA CENTRUM,25,3,100.6778,106.1276,27.1527,23.5819,0.361,-0.4521,LULUS DENGAN CATATAN,2026-05-21 12:26:34
realisasi_hsi,witel,REG-2,JAKARTA INNER,25,3,24.9226,39.2179,6.481,5.995,0.0803,0.7113,LULUS,2026-05-21 10:34:33
realisasi_hsi,witel,REG-2,JAKARTA OUTER,25,3,56.2885,65.6951,8.6053,8.6803,0.09,0.5189,LULUS,2026-05-21 10:34:56
realisasi_hsi,witel,REG-2,PRIANGAN BARAT,25,3,109.6014,119.9126,13.8909,15.1164,0.1546,0.5569,LULUS,2026-05-21 10:35:09
realisasi_hsi,witel,REG-2,PRIANGAN TIMUR,25,3,91.2167,127.9375,13.1908,14.9948,0.1278,0.4655,LULUS,2026-05-21 10:35:27
realisasi_hsi,witel,REG-3,BALI,24,3,67.0031,72.7009,44.7894,35.4212,0.2657,0.4765,GAGAL,2026-05-21 12:05:27
realisasi_hsi,witel,REG-3,JATIM BARAT,24,3,103.402,123.851,14.0989,15.5669,0.1743,0.2341,LULUS,2026-05-21 11:01:00
realisasi_hsi,witel,REG-3,JATIM TIMUR,24,3,52.4048,53.5521,6.9469,7.1131,0.0634,0.7022,LULUS,2026-05-21 11:01:19
realisasi_hsi,witel,REG-3,NUSA TENGGARA,24,3,52.7377,55.319,12.051,11.8773,0.1204,0.4673,LULUS,2026-05-21 11:01:45
realisasi_hsi,witel,REG-3,SEMARANG JATENG UTARA,24,3,42.5464,49.2871,8.9985,9.1052,0.1197,0.7472,LULUS,2026-05-21 11:02:10
